AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A692203,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Brown Brindle/White
A676052,Adoption,,Dog,Neutered Male,1 year,Rat Terrier Mix,Brown/Black
A704749,Adoption,,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White
A702327,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever/Pit Bull,Black
A695970,Adoption,,Dog,Neutered Male,4 years,Boxer Mix,Brown Brindle/White
A691717,Return_to_owner,,Dog,Spayed Female,5 years,Border Collie,Black/White
A698702,Adoption,,Dog,Neutered Male,4 months,German Shepherd/Alaskan Malamute,Sable/White
A709096,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Black Brindle/White
A542712,Euthanasia,Suffering,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A708475,Return_to_owner,,Dog,Neutered Male,2 years,Norfolk Terrier Mix,Tan/White
A695743,Return_to_owner,,Dog,Neutered Male,3 years,Border Collie/Australian Shepherd,Black/White
A703364,Return_to_owner,,Dog,Neutered Male,4 years,Pug/Chihuahua Shorthair,Brown/Black
A666693,Return_to_owner,,Dog,Spayed Female,7 years,American Bulldog,White/Brown Brindle
A699371,Adoption,,Dog,Neutered Male,1 year,Soft Coated Wheaten Terrier Mix,White
A686955,Adoption,,Dog,Neutered Male,4 years,Dachshund Mix,Brown
A717823,Adoption,Foster,Dog,Neutered Male,1 month,Miniature Poodle Mix,Brown
A716163,Transfer,Partner,Dog,Intact Male,1 year,German Shepherd Mix,Brown
A719479,Return_to_owner,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Brown
A605772,Euthanasia,Behavior,Dog,Neutered Male,2 years,American Bulldog Mix,Black/White
A686811,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,White/Orange Tabby
A705023,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Brown
A702645,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A681494,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A677374,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A706815,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue Tabby
A700465,Return_to_owner,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
A688728,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A310938,Return_to_owner,,Cat,Neutered Male,12 years,Domestic Shorthair,Gray/White
A695616,Adoption,,Dog,Spayed Female,1 year,Whippet/Borzoi,Tricolor/Black
A707829,Adoption,,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,White/Black
A691889,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black
A677598,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
A671925,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A706126,Transfer,Partner,Dog,Intact Male,6 months,Labrador Retriever/Siberian Husky,Brown/White
A694062,Euthanasia,Rabies Risk,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
A668251,Adoption,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Sable
A685476,Adoption,,Cat,Spayed Female,1 year,Snowshoe Mix,Seal Point
A701931,Return_to_owner,,Dog,Neutered Male,1 year,Cardigan Welsh Corgi Mix,Tricolor
A695869,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black Tabby
A720574,Euthanasia,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A679227,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow
A640819,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A672148,Adoption,,Cat,Spayed Female,15 years,Persian Mix,Orange Tabby/White
A705911,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A714798,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd,Black/Brown
A684020,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Tricolor
A681525,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black/White
A711076,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black
A669272,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Brown Brindle/White
A691654,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A709609,Adoption,,Dog,Spayed Female,1 month,Australian Kelpie/Blue Lacy,Tan/White
A711568,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby/Black
A709759,Transfer,Partner,Dog,Intact Male,6 months,Rhod Ridgeback Mix,Tan
A692496,Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Black
A679861,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A677550,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A692093,Transfer,Partner,Dog,Spayed Female,8 months,Pit Bull Mix,Red/White
A626136,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black Brindle
A703787,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Brown
A705930,Return_to_owner,,Dog,Spayed Female,1 year,Boxer/Pit Bull,Chocolate/White
A672759,Transfer,Partner,Cat,Spayed Female,10 years,Domestic Longhair Mix,Brown Tabby
A674443,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,White
A675489,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie
A674251,Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,Blue Cream/White
A718206,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A706685,Transfer,Partner,Dog,Spayed Female,2 years,German Shepherd Mix,Tan/Brown
A704991,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A667400,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
A689474,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair/Border Terrier,Brown
A705895,Adoption,,Dog,Neutered Male,7 months,Pug/Beagle,Tan/White
A693748,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull,Blue
A676722,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Torbie
A697909,Euthanasia,Behavior,Dog,Spayed Female,1 year,Black Mouth Cur/Labrador Retriever,Brown/Black
A687647,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Longhair Mix,Calico
A710333,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White
A665222,Adoption,,Dog,Neutered Male,2 months,Jack Russell Terrier Mix,White/Brown
A713323,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
A679794,Return_to_owner,,Dog,Spayed Female,5 years,Shetland Sheepdog Mix,Sable/White
A670059,Adoption,,Dog,Spayed Female,1 year,West Highland,White
A709843,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A708830,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue
A634207,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A670065,Return_to_owner,,Dog,Spayed Female,7 years,Australian Shepherd/Chow Chow,Red/White
A705490,Transfer,Partner,Dog,Intact Female,7 months,Pit Bull Mix,Tan/White
A708757,Euthanasia,Suffering,Cat,Neutered Male,16 years,Domestic Longhair Mix,Black/White
A716398,Adoption,,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A679871,Adoption,,Cat,Spayed Female,4 years,Maine Coon Mix,Brown Tabby/White
A670422,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Buff
A681057,Transfer,Partner,Dog,Intact Female,2 months,Pointer Mix,Black/White
A703103,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
A534984,Return_to_owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/Tricolor
A696802,Adoption,,Dog,Neutered Male,2 months,Doberman Pinsch Mix,Chocolate/Tan
A703823,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Brown
A692991,Adoption,,Dog,Spayed Female,2 months,Soft Coated Wheaten Terrier Mix,Tan
A702913,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd,Red
A709043,Adoption,,Dog,Spayed Female,3 years,Pembroke Welsh Corgi Mix,Tricolor
A711413,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A682811,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue
A673459,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Chocolate/Tan
A563632,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Longhair Mix,Brown Tabby/White
A688204,Adoption,Foster,Cat,Neutered Male,2 months,Russian Blue Mix,Blue
A694141,Died,In Kennel,Dog,Intact Male,6 months,Rat Terrier Mix,Black/White
A701711,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A706754,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Gray Tabby
A701024,Return_to_owner,,Dog,Spayed Female,6 years,Cardigan Welsh Corgi Mix,Red/White
A716430,Adoption,,Dog,Spayed Female,11 months,Pit Bull Mix,Blue
A692658,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A680704,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Lynx Point
A690131,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Black/Brown
A697726,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A710105,Return_to_owner,,Dog,Spayed Female,2 years,Plott Hound Mix,Tan
A706961,Euthanasia,Medical,Dog,Intact Female,2 years,Pit Bull/Chinese Sharpei,Brown
A684033,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A678878,Adoption,,Dog,Neutered Male,3 months,Catahoula,Brown Merle/White
A667984,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby
A665179,Transfer,Partner,Dog,Spayed Female,1 year,Pointer/Australian Cattle Dog,White/Red Tick
A703334,Euthanasia,Aggressive,Dog,Intact Male,2 years,Boxer Mix,Brown Brindle/White
A703615,Adoption,,Dog,Neutered Male,7 months,Labrador Retriever Mix,Black/White
A700789,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown/White
A711760,Adoption,,Dog,Neutered Male,10 months,Australian Cattle Dog Mix,White/Black
A716630,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Black/White
A714541,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A688907,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray Tabby/Black
A698122,Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,Brown
A692242,Transfer,Partner,Dog,Neutered Male,10 months,Rat Terrier/Dachshund,Black/White
A679987,Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Liver/White
A715687,Euthanasia,Suffering,Dog,Intact Female,2 years,Yorkshire Terrier Mix,Brown/Black
A647511,Died,In Foster,Dog,Neutered Male,1 year,Border Collie/Akita,Brown Brindle/White
A683230,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Cream Tabby/White
A683493,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Brown
A711364,Transfer,Partner,Dog,Intact Female,2 months,Jack Russell Terrier Mix,White
A663599,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby/White
A683903,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Red
A683312,Adoption,,Dog,Neutered Male,4 months,Australian Cattle Dog Mix,White/Black
A703950,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Blue/White
A720639,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
A696562,Adoption,,Dog,Spayed Female,2 months,Rat Terrier/Miniature Poodle,White/Black
A714866,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A708847,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue/White
A680461,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,White/Black
A672691,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan
A712356,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Calico
A689216,Transfer,Partner,Dog,Intact Female,5 months,Australian Cattle Dog Mix,Chocolate/White
A672409,Euthanasia,Rabies Risk,Dog,Neutered Male,3 years,Pit Bull Mix,Red/White
A698210,Adoption,,Dog,Spayed Female,10 months,Rottweiler,Black/Tan
A690324,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever/German Shepherd,Tricolor
A690730,Return_to_owner,,Dog,Neutered Male,3 years,Standard Schnauzer,Black
A666161,Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Blue Tabby
A711466,Transfer,SCRP,Cat,Spayed Female,7 years,Domestic Shorthair Mix,White/Black
A684390,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Buff/White
A699309,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A698300,Return_to_owner,,Dog,Neutered Male,2 years,Papillon Mix,Black Smoke/White
A685846,Adoption,,Cat,Intact Male,2 months,Domestic Longhair Mix,Orange Tabby
A687781,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
A684567,Adoption,Foster,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A596357,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Tan/White
A704845,Transfer,Partner,Dog,Spayed Female,1 year,Boxer/Miniature Poodle,Red/White
A691235,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A683726,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A703688,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A716658,Adoption,,Dog,Neutered Male,4 months,Border Collie Mix,Black/White
A668733,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White
A720148,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Brown/Black
A689666,Adoption,,Dog,Spayed Female,4 months,Border Collie Mix,Brown/White
A684193,Return_to_owner,,Dog,Spayed Female,4 years,Flat Coat Retriever Mix,Black
A620598,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A714595,Adoption,,Dog,Spayed Female,1 year,Boxer Mix,White/Black
A708529,Transfer,Partner,Dog,Intact Female,3 weeks,Pit Bull Mix,White/Brown
A678264,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A670271,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White
A700613,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black Tabby
A710080,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
A672499,Return_to_owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown/Tan
A694780,Return_to_owner,,Dog,Neutered Male,2 months,Yorkshire Terrier/Miniature Poodle,White/Black
A692135,Adoption,Offsite,Dog,Neutered Male,2 years,Boxer Mix,Brown/White
A697275,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Yellow
A700233,Transfer,Partner,Dog,Intact Male,2 days,Pit Bull Mix,Blue/White
A672165,Transfer,Partner,Dog,Intact Male,1 weeks,Yorkshire Terrier Mix,Chocolate/White
A664575,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Orange Tabby
A691848,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Tan/White
A719360,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A690580,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby
A685161,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray
A676560,Transfer,Partner,Dog,Intact Male,8 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Sable
A705491,Transfer,Partner,Dog,Intact Female,1 month,German Shepherd Mix,Black/Tan
A691292,Euthanasia,Aggressive,Dog,Intact Male,2 years,American Staffordshire Terrier/Plott Hound,Brown Brindle/White
A687699,Euthanasia,Suffering,Dog,Intact Female,1 year,German Shepherd/Labrador Retriever,Brown/Black
A666112,Transfer,Partner,Dog,Neutered Male,10 months,Border Terrier Mix,Black
A660641,Adoption,,Dog,Neutered Male,6 months,Catahoula Mix,Blue Merle/Tan
A709968,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/White
A667811,Adoption,,Dog,Neutered Male,2 months,Jack Russell Terrier,White/Brown
A694529,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico/White
A700483,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
A713657,Return_to_owner,,Dog,Neutered Male,4 years,Golden Retriever Mix,Red/White
A707029,Adoption,,Dog,Spayed Female,2 months,Collie Smooth Mix,Brown/White
A665408,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A717186,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White
A651386,Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Red/White
A699458,Return_to_owner,,Dog,Spayed Female,6 years,Pit Bull/Beagle,Tan/White
A697531,Euthanasia,Aggressive,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A710104,Adoption,Foster,Dog,Spayed Female,2 years,American Bulldog Mix,White
A674886,Transfer,Partner,Dog,Neutered Male,2 years,Dogue De Bordeaux Mix,Red/White
A673238,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White
A680157,Adoption,,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Black/White
A668877,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Black Brindle/White
A663673,Transfer,Partner,Dog,Neutered Male,5 years,Great Pyrenees Mix,White
A665387,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A682870,Return_to_owner,,Dog,Neutered Male,8 years,German Shepherd/Labrador Retriever,Brown
A679593,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A590144,Adoption,Foster,Dog,Spayed Female,9 years,Rottweiler,Black/Brown
A694401,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A671235,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby
A711952,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie
A697300,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Tortie
A704208,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Tricolor
A619664,Transfer,Partner,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,White/Tan
A700829,Return_to_owner,,Dog,Neutered Male,6 years,Shih Tzu/Miniature Schnauzer,Black/Gray
A671822,Return_to_owner,,Dog,Intact Male,8 years,German Shepherd Mix,Black/Tan
A718706,Transfer,SCRP,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie/White
A706718,Adoption,,Dog,Spayed Female,2 years,Black Mouth Cur/Australian Cattle Dog,Red/White
A689182,Adoption,Foster,Dog,Neutered Male,1 month,Golden Retriever Mix,Brown
A663143,Adoption,,Dog,Spayed Female,1 year,Cairn Terrier Mix,White/Tan
A714363,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Orange Tabby
A673634,Transfer,Partner,Dog,Intact Female,1 year,Shiba Inu Mix,Yellow
A672514,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A684134,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair,Blue Tabby/White
A665713,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Calico
A688003,Euthanasia,Suffering,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby
A636102,Adoption,,Dog,Spayed Female,1 year,Rhod Ridgeback Mix,Tan
A714031,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue
A668216,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A710885,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
A690253,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Brown Tabby
A710208,Adoption,,Dog,Neutered Male,1 year,Border Collie Mix,White/Brown
A687306,Adoption,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,Black/White
A686803,Adoption,,Dog,Neutered Male,3 months,Dachshund Mix,Red/White
A672663,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black Brindle/White
A707808,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Tan
A689555,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A712280,Return_to_owner,,Dog,Neutered Male,10 months,West Highland/Cairn Terrier,White/Gray
A698211,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull/Chinese Sharpei,Brown/White
A684691,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White/Brown Tabby
A693830,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A664510,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue/White
A691844,Adoption,,Dog,Neutered Male,10 months,Queensland Heeler Mix,Black/Blue Tick
A686143,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A707348,Adoption,,Cat,Neutered Male,6 years,Persian Mix,White
A720901,Return_to_owner,,Dog,Intact Male,3 years,Staffordshire Mix,Black
A714193,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A682742,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A696508,Return_to_owner,,Dog,Neutered Male,3 years,Maltese/Miniature Poodle,White/Gray
A677031,Transfer,Partner,Dog,Spayed Female,4 years,Dachshund,Blue Merle/Brown
A680844,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Tan
A714626,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A494226,Return_to_owner,,Dog,Neutered Male,8 years,American Staffordshire Terrier Mix,Brown Brindle/White
A631529,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair/Parson Russell Terrier,White
A673650,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Tan/White
A704697,Return_to_owner,,Dog,Intact Male,2 years,German Shepherd Mix,Sable
A678451,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A640562,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
A691506,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A692423,Adoption,,Dog,Spayed Female,2 months,Pug/Chihuahua Shorthair,Brown
A696112,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Orange Tabby/White
A689348,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
A613097,Return_to_owner,,Dog,Spayed Female,4 years,Jack Russell Terrier Mix,Tricolor/White
A693360,Transfer,Partner,Dog,Neutered Male,10 years,Lhasa Apso Mix,Black/White
A684266,Euthanasia,Suffering,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
A686827,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A713096,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,White
A667307,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A712971,Transfer,Partner,Cat,Intact Female,3 years,Domestic Shorthair Mix,Torbie/White
A669849,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A706080,Return_to_owner,,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/White
A699162,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A713515,Return_to_owner,,Dog,Intact Female,12 years,Miniature Poodle Mix,Buff
A679923,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A671888,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White
A711608,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A707991,Transfer,SCRP,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Silver Tabby/White
A689335,Adoption,,Dog,Neutered Male,2 months,German Shepherd/Border Collie,Tricolor
A703480,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,Black/White
A543793,Return_to_owner,,Dog,Neutered Male,6 years,German Shepherd Mix,Tan
A685670,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A719762,Return_to_owner,,Dog,Intact Female,4 weeks,Pit Bull Mix,Chocolate/White
A431615,Adoption,Foster,Dog,Spayed Female,8 years,Pit Bull/Chinese Sharpei,Chocolate
A681906,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue/White
A688429,Transfer,Partner,Dog,Intact Male,5 months,Manchester Terrier Mix,Black/Brown
A710089,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A679731,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White
A702593,Transfer,Partner,Dog,Intact Female,2 years,Queensland Heeler Mix,Brown/White
A550849,Return_to_owner,,Dog,Spayed Female,6 years,Pit Bull Mix,White/Chocolate
A676323,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor
A711756,Euthanasia,Suffering,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby
A677443,Adoption,,Cat,Neutered Male,4 years,Domestic Longhair Mix,Blue/White
A704465,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A702116,Transfer,Partner,Cat,Spayed Female,2 years,Siamese Mix,Lynx Point
A715715,Transfer,Partner,Dog,Neutered Male,3 years,Catahoula,Black/Brown
A701367,Return_to_owner,,Dog,Spayed Female,1 year,Belgian Malinois,Brown/Black
A695018,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/Brown
A678892,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Silver Tabby
A711488,Transfer,Partner,Dog,Intact Female,1 month,Plott Hound Mix,Brown Brindle
A678693,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Shorthair,Black
A710134,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
A674326,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair Mix,Blue Tabby/White
